CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,DATE_OF_REGISTRATION,REGISTERED_STATE,REGISTRAR_OF_COMPANIES,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,SUB_CATEGORY
U74950DD1997PTC002299,VRAJ PACKAGING PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,37500000,37500000,3/17/1997,Daman and Diu,RoC-Goa,Business Services,"PLOT NO 71/1, 70/2-C and 24/5, VILLAGE KADAIYA NANI DAMAN Daman Daman and Diu INDIA 396210",Indian Non-Government Company
U65923DD1996PTC002181,KHEMANI FIN-STOCK PRIVATE LIMITED.,ACTIVE,Private,Company Limited by Shares,100000000,12001500,09-03-96,Daman and Diu,RoC-Goa,Finance,"RINGANWADA, KACHIGAM ROAD DAMAN Daman and Diu INDIA 396210",Indian Non-Government Company
U55101DD1996PTC002175,MIRAMAR RESORTS PRIVATE LIMITED.,ACTIVE,Private,Company Limited by Shares,10000000,100000,8/29/1996,Daman and Diu,RoC-Goa,Trading,HOTEL MIRAMARDEVKA BEACH DAMAN Daman and Diu INDIA 396210,Indian Non-Government Company
U74950DD1996PLC002159,INDU PACKAGING (DAMAN) LIMITED,ACTIVE,Public,Company Limited by Shares,60000000,6600000,8/19/1996,Daman and Diu,RoC-Goa,Business Services,PLOT NO16 GDDIC INDUSTRIALESTATE SOMNATH ROAD DAMAN DAMAN Daman and Diu INDIA 396210,Indian Non-Government Company
U24132DD1996PTC002145,TRANS POLYURETHANE PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,85000000,35000000,08-01-96,Daman and Diu,RoC-Goa,"Manufacturing (Metals & Chemicals, and products thereof)",23BHARAT INDUSTRIAL ESTATE BHIMPORE DAMAN Daman and Diu INDIA 396210,Indian Non-Government Company
U33130DD1996PTC002139,CHINO CORPORATION INDIA PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,210000000,125818000,07-12-96,Daman and Diu,RoC-Goa,Manufacturing (Machinery & Equipments),"CHINO HOUSE, 10, MAHARANI INDUSTRIAL ESTATE SOMNATH ROAD, DABHEL DAMAN Daman and Diu INDIA 396210",Indian Non-Government Company
U25201DD1996PTC002124,KETAN PLASTIC INDUSTRIES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,10000000,9625200,6/20/1996,Daman and Diu,RoC-Goa,"Manufacturing (Metals & Chemicals, and products thereof)",SURVEY NO 363(1)(13)SHREE GANESH INDUSTRIAL ESTATE KACHIGAON DAMAN Daman and Diu INDIA 396210,Indian Non-Government Company
U24232DD1995PTC001997,AGAM AND GEM LABORATORIES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,500000000,10000000,12/26/1995,Daman and Diu,RoC-Goa,"Manufacturing (Metals & Chemicals, and products thereof)",PLOT NO 5DAMAN INDUSTRIAL ESTATE SOMNATH ROAD DAMAN Daman and Diu INDIA 369210,Indian Non-Government Company
U70101DD1995PLC001973,SUPREME COMPANY LIMITED,ACTIVE,Public,Company Limited by Shares,110000000,56010000,11/16/1995,Daman and Diu,RoC-Goa,Real Estate and Renting,"PRAGATI SHOPPING CENTRE,NEELKANTH BUILDING, KAVI KHABARDAR MARG, DAMAN 396 210 Daman and Diu INDIA 396210",Indian Non-Government Company
U67120DD1995PLC001945,CRYSTAL EQUITIES LIMITED,ACTIVE,Public,Company Limited by Shares,10000000,4925000,10-10-95,Daman and Diu,RoC-Goa,Finance,C/O INDUSTRIAL CONTROLEQIPMENTS 362.1-C GANESH INDL. ESTATE KACHIGHAM DAMAN Daman and Diu INDIA 396210,Indian Non-Government Company
