CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,DATE_OF_REGISTRATION,REGISTERED_STATE,REGISTRAR_OF_COMPANIES,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,SUB_CATEGORY
U00500JH1999PTC008827,PARAG FRONTLINE CONSTRUCTION SERVICES PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"500,000.00",NA,12-05-99,Jharkhand,RoC-Jharkhand,NA,"PRABHA BHAWAN,NEAR URBANOLD H.B. ROAD KOKAR RANCHI KOKAR RANCHI Bihar INDIA",Indian Non-Government Company
U00737JH1997PTC008170,MINZ COURIER & TRAVELS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"500,000.00",NA,25-09-97,Jharkhand,RoC-Jharkhand,NA,"ASHRAM BHAWAN,CHANDANDIH,LATEHAR,PALAMU. LATEHAR,PALAMU. Bihar INDIA",Indian Non-Government Company
U74920JH1997NPL008169,BHAYANAK SECURITY AGENCY,STRIKE OFF,Private,Company Limited by Guarantee,NA,NA,25-09-97,Jharkhand,RoC-Jharkhand,Business Services,"MAHULSAI,JHINKPANI ROAD,CHAIBASA, SINGHBHUM WESTSINGHBHUM Jharkhand INDIA 833201",Company licensed under Section25
U00330JH1997PTC008073,SHREE VAISHNO METALS INDIA PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"2,000,000.00","2,000,000.00",05-08-97,Jharkhand,RoC-Jharkhand,NA,"NAYA BAZAR JUGSALAI,JAMSHEDPUR JAMSHEDPUR Jharkhand INDIA",Indian Non-Government Company
U00202JH1997PTC007808,SUBARNAREKHA AGROTECH PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"1,000,000.00",NA,21-03-97,Jharkhand,RoC-Jharkhand,NA,"73A,ROAD AIR BASE COLONY,SONANG,JAMSHEDPUR, SONANG,JAMSHEDPUR, Bihar INDIA",Indian Non-Government Company
U00062JH1997PTC007806,CARE INFOTECH INDIA PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"5,000,000.00","10,000.00",20-03-97,Jharkhand,RoC-Jharkhand,NA,"24, NEW BARADWARI SAKCHI JAMSHEDPUR Jharkhand INDIA",Indian Non-Government Company
U00500JH1996PTC007489,IBPSKAN CONSTRUCTION INDIA PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"2,500,000.00",NA,30-09-96,Jharkhand,RoC-Jharkhand,NA,"1ST FLOOR,MILKHI RAM BUILDING,SAKCHI, JAMSHEDPUR-1 SAKCHI, JAMSHEDPUR-1 Bihar INDIA",Indian Non-Government Company
U00331JH1996PTC007483,ALLIED STEEL ROLLING MILL PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"2,500,000.00",NA,27-09-96,Jharkhand,RoC-Jharkhand,NA,"CHANDRAURI ROAD,PO. GIRIDIH, DIST. GIRIDIH-1. DIST. GIRIDIH-1. Bihar INDIA",Indian Non-Government Company
U00737JH1996PTC007480,RHINE TRAVELS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"300,000.00",NA,24-09-96,Jharkhand,RoC-Jharkhand,NA,"STATION ROAD,HATIA , DIST. RANCHI DIST. RANCHI Bihar INDIA",Indian Non-Government Company
U00062JH1996PTC007458,VIKASH TECHNO EQUIPMENTS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"1,000,000.00","120,000.00",10-09-96,Jharkhand,RoC-Jharkhand,NA,"9,GEL CHURCH COMPLEX,1ST FLOOR,MAIN ROAD, DIST. RANCHI. DIST. RANCHI. Bihar INDIA",Indian Non-Government Company
