CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,DATE_OF_REGISTRATION,REGISTERED_STATE,REGISTRAR_OF_COMPANIES,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,SUB_CATEGORY
U45400CT2013PTC001167,YASHASWINI INFRAVENTURES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","810,000.00",04-12-13,Chhattisgarh,RoC-Chhattisgarh,Construction,HOUSE NO 12/A/4 NEHRU NAGAR EAST BHILAI Chhattisgarh INDIA 490020,Indian Non-Government Company
U45400CT2013PTC001183,ANANYA DEVCON PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","100,000.00",16-12-13,Chhattisgarh,RoC-Chhattisgarh,Construction,INFRONT OF SANJAY PARK RAMANUJGANJ ROAD Ambikapur Chhattisgarh INDIA 497001,Indian Non-Government Company
U63040CT2013PTC001132,GOPALA YATRA AND TRANSLINK PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"500,000.00","100,000.00",31-10-13,Chhattisgarh,RoC-Chhattisgarh,"Transport, storage and Communications",TAHSILPARA NARAYANPUR Chhattisgarh INDIA 494661,Indian Non-Government Company
U45200CT2013PTC001143,CHAWLA INFRACON PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"2,000,000.00","200,000.00",19-11-13,Chhattisgarh,RoC-Chhattisgarh,Construction,"29/508, Yasraj, Opp Narayan Sewa Sansthan Shriram Nagar, Phase-2, Shankar Nagar Raipur Chhattisgarh INDIA 492007",Indian Non-Government Company
U45200CT2013PTC001164,LAXMI MOHINI BUILDERS AND INFRASTRUCTURE PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",03-12-13,Chhattisgarh,RoC-Chhattisgarh,Construction,"JAIN OPTICALS,SADAR BAZAR INFRONT OF DR. SAXENA CLINIC RAIPUR Chhattisgarh INDIA 492001",Indian Non-Government Company
U45400CT2013PTC001158,WALLFORT DEVELOPERS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",29-11-13,Chhattisgarh,RoC-Chhattisgarh,Construction,"205, 2nd Floor, Wallfort Ozone, Fafadih Raipur Chhattisgarh INDIA 492001",Indian Non-Government Company
U45400CT2013PTC001198,A.P.G. NAVNIRMAN PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",23-12-13,Chhattisgarh,RoC-Chhattisgarh,Construction,"MIG-DLX-03, KACHNA, DC-AMASEONI RAIPUR Chhattisgarh INDIA 492001",Indian Non-Government Company
U01403CT2014PTC001243,BHUMISEVA AGRICO PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","100,000.00",20-01-14,Chhattisgarh,RoC-Chhattisgarh,Agriculture and Allied Activities,"CHANDRA SHAKTI VILLA, NEAR AKANSHA SCHOOL ST-XAVIER SCHOOL ROAD, AWANTI VIHAR RAIPUR Chhattisgarh INDIA 492001",Indian Non-Government Company
U63040CT2013PTC001177,SKY TRANSLINKS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",12-12-13,Chhattisgarh,RoC-Chhattisgarh,"Transport, storage and Communications",BALAJEE NAGAR WARD NO 32 POLE 32/01 BHILAI (TOWN) ZONE BHILAI Chhattisgarh INDIA 490011,Indian Non-Government Company
U15410CT2013PTC001137,ARNA BAKERS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"2,000,000.00","100,000.00",12-11-13,Chhattisgarh,RoC-Chhattisgarh,Manufacturing (Food stuffs),"C 1/504, VIP KARISHMA APARTMENTS SHANKER NAGAR RAIPUR Chhattisgarh INDIA 492001",Indian Non-Government Company
U45400CT2013PTC001166,AKANSHA DEVCON PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",04-12-13,Chhattisgarh,RoC-Chhattisgarh,Construction,"BAZAR CHOWK JAIN MANDIR , BHILAI 3 BHILAI Chhattisgarh INDIA 491001",Indian Non-Government Company
U36995CT2014PTC001251,CLEAR VISION CANDLES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",27-01-14,Chhattisgarh,RoC-Chhattisgarh,Manufacturing (Others),QR NO 10/A STREET NO-30 SECTOR-4 BHILAI DURG Chhattisgarh INDIA 490001,Indian Non-Government Company
U70200CT2013PTC001199,EARTH INFRABUILT INDIA PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"500,000.00","120,000.00",24-12-13,Chhattisgarh,RoC-Chhattisgarh,Real Estate and Renting,"Office No-O A - 07, First Floor, Vrindavan Parisar Ward No - 24, Shivajee Nagar Ward, Bilaspur Chhattisgarh INDIA 495001",Indian Non-Government Company
U45400CT2013PTC001171,VIVEK REALVENTURES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",05-12-13,Chhattisgarh,RoC-Chhattisgarh,Construction,HOUSE NO 19/22 ASHISH NAGAR EAST BHILAI Chhattisgarh INDIA 490006,Indian Non-Government Company
U74999CT2014PTC001240,HIKRON ELEVATORS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",17-01-14,Chhattisgarh,RoC-Chhattisgarh,Business Services,Kamla Shree Novas Near Maharashtra Mandal Choubey Colony Raipur Chhattisgarh INDIA 492001,Indian Non-Government Company
U45400CT2013PLC001150,GOLD KEY INFRAVENTURES LIMITED,ACTIVE,Public,Company Limited by Shares,"500,000.00","500,000.00",26-11-13,Chhattisgarh,RoC-Chhattisgarh,Construction,"PLOT NO. B-16 SECTOR-02, RAIPURA RAIPUR Chhattisgarh INDIA 492001",Indian Non-Government Company
U72200CT2013PTC001145,PRAGATEE WEB SOLUTION AND SERVICES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"200,000.00","100,000.00",21-11-13,Chhattisgarh,RoC-Chhattisgarh,Business Services,"FENCY VILLA, SANJAY NAGAR ROAD TIKRA PARA RAIPUR Chhattisgarh INDIA 492001",Indian Non-Government Company
U52100CT2014PLC001266,TECHNOBIZZ MARKETING SOLUTIONS (INDIA) LIMITED,ACTIVE,Public,Company Limited by Shares,"500,000.00","500,000.00",06-02-14,Chhattisgarh,RoC-Chhattisgarh,Trading,"401, 2nd Floor, Shyam Shakuntala Complex Nehru Parisar, Nehru Nagar Bhilai Chhattisgarh INDIA 490020",Indian Non-Government Company
U01403CT2013PTC001155,SINGHANIA FARMS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"200,000.00","100,000.00",29-11-13,Chhattisgarh,RoC-Chhattisgarh,Agriculture and Allied Activities,"62/6, NEHRU NAGAR EAST BHILAI Chhattisgarh INDIA 490020",Indian Non-Government Company
U52335CT2013PTC001147,FEBMAIL DIGITAL SOLUTIONS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"200,000.00","100,000.00",21-11-13,Chhattisgarh,RoC-Chhattisgarh,Trading,"SHOP NO 6 DHILLON COMPLEX, JAWAHAR NAGAR RAIPUR Chhattisgarh INDIA 492001",Indian Non-Government Company
U80904CT2013PTC001174,LEAD SKILLS EDUTECH PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",06-12-13,Chhattisgarh,RoC-Chhattisgarh,"Community, personal & Social Services","301, 3rd Floor, Ocean Tower G.T. Natura, Main Road Daldal Seoni Raipur Chhattisgarh INDIA 492001",Indian Non-Government Company
U74140CT2013PTC001175,ZENISTIC HR SOLUTIONS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",09-12-13,Chhattisgarh,RoC-Chhattisgarh,Business Services,"SHYAM NAGAR ROAD, KATORA TALAB CIVIL LINES, RAIPUR Chhattisgarh INDIA 492001",Indian Non-Government Company
U29141CT2014PLC001218,BEC CASTING & ENGINEERING (INDIA) LIMITED,ACTIVE,Public,Company Limited by Shares,"10,000,000.00","1,000,000.00",03-01-14,Chhattisgarh,RoC-Chhattisgarh,Manufacturing (Machinery & Equipments),HATHKHOJ VILLAGE INDUSTRIAL AREA BHILAI Chhattisgarh INDIA 490026,Indian Non-Government Company
U22300CT2013PTC001146,SUPERSTAR PRODUCTION & ENTERTAINMENT PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"500,000.00","100,000.00",21-11-13,Chhattisgarh,RoC-Chhattisgarh,"Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)","H/O ER. SANJAY GUPTA CHANDRAMA, KAILASH NAGAR RAJNANDGAON Chhattisgarh INDIA 491441",Indian Non-Government Company
U15549CT2013PTC001165,NAHSHON BEVERAGES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"300,000.00","100,000.00",03-12-13,Chhattisgarh,RoC-Chhattisgarh,Manufacturing (Food stuffs),"OPPOSITE SBR COLLEGE GREEN PARK COLONY, JARHABHATA BILASPUR Chhattisgarh INDIA 495001",Indian Non-Government Company
U63090CT2013PTC001204,KONDAGAON COLD STORAGE PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"2,000,000.00","160,000.00",26-12-13,Chhattisgarh,RoC-Chhattisgarh,"Transport, storage and Communications",ROJGARIPARA MAIN ROAD KONDAGAON Chhattisgarh INDIA 494226,Indian Non-Government Company
U22210CT2013PTC001181,MAHAVIR TELEMEDIA & NEWS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"5,000,000.00","100,000.00",13-12-13,Chhattisgarh,RoC-Chhattisgarh,"Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)","C/O MAHAVIR INSPIRE HOUSE BEHIND DEEN DAYAL GARDEN, VYAPAR VIHAR BILASPUR Chhattisgarh INDIA 495001",Indian Non-Government Company
U01403CT2013PTC001176,RAJNANDGAON AGRICHEM PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","100,000.00",12-12-13,Chhattisgarh,RoC-Chhattisgarh,Agriculture and Allied Activities,BASPAI PARA WARD NO. 37 RAJNANDGAON Chhattisgarh INDIA 491441,Indian Non-Government Company
