CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,DATE_OF_REGISTRATION,REGISTERED_STATE,REGISTRAR_OF_COMPANIES,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,SUB_CATEGORY
U01403TR2009PTC008271,NATIVE RURAL BAMBOO PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","100,000.00",27-08-09,Tripura,RoC-Shillong,Agriculture and Allied Activities,GANDHIGRAM (NEAR TEHSIL) GANDHIGRAM AGARTALLA Tripura INDIA 799012,Indian Non-Government Company
U63040TR2009PTC008267,TRIPURESWARI TOURS & TRAVELS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",24-07-09,Tripura,RoC-Shillong,"Transport, storage and Communications","CHOWDHURY MANJIL , JOGENDRANAGAR OPPOSITE OF VIDYASAGARA GIRLS SCHOOL AGARTALA Tripura INDIA 799010",Indian Non-Government Company
U66000TR2009PTC008266,NORTH EAST INSURANCE MARKETING PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",24-07-09,Tripura,RoC-Shillong,Insurance,"CHOWDHURY MANJIL , JOGENDRANAGAR OPPOSITE OF VIDYASAGARA GIRLS SCHOOL AGARTALA Tripura INDIA 799010",Indian Non-Government Company
U15137TR2009PLC008265,TRIPURA INDUSTRIES LIMITED,ACTIVE,Public,Company Limited by Shares,"10,000,000.00","1,525,000.00",24-07-09,Tripura,RoC-Shillong,Manufacturing (Food stuffs),"CHOWDHURY MANJIL , JOGENDRANAGAR OPPOSITE OF VIDYASAGARA GIRLS SCHOOL AGARTALA Tripura INDIA 799010",Indian Non-Government Company
U55101TR2009PTC008276,GREEN TOUCH HOTEL AND RESORTS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"17,000,000.00","13,000,000.00",06-11-09,Tripura,RoC-Shillong,Trading,PALACE COMPOUND AGARTALA Tripura INDIA 799001,Indian Non-Government Company
U45400TR2009PTC008274,SBA CONSTRUCTION PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"2,000,000.00","200,000.00",14-10-09,Tripura,RoC-Shillong,Construction,58/C MANTRIBARI ROAD AGARTALA Tripura INDIA 799001,Indian Non-Government Company
U51109TR2009PTC008270,INSYSSKY SOFTTECH PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",21-08-09,Tripura,RoC-Shillong,Trading,"C/O SUBHRA DEB, VILLAGE JOYNAGAR P.O. TELIAMUNDRA AGARTALA Tripura INDIA 799001",Indian Non-Government Company
U74140TR2009PTC008273,AGARTHA PROJECT CONSULTANCY SERVICES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",12-10-09,Tripura,RoC-Shillong,Business Services,"SREERAM VILLA, KUNJABAN NEAR STATE BANK OF INDIA, P.O. KUNJABAN AGARTALA Tripura INDIA 799006",Indian Non-Government Company
U45400TR2009PLC008269,GOLD LAND PROJECTS LIMITED,STRIKE OFF,Public,Company Limited by Shares,"500,000.00","500,000.00",21-08-09,Tripura,RoC-Shillong,Construction,HARISH THAKUR ROAD KRISHNANAGAR AGARTALA Tripura INDIA 799001,Indian Non-Government Company
U74900TR2009PTC008272,SILK ROUTE MARKETING PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"300,000.00","150,000.00",11-09-09,Tripura,RoC-Shillong,Business Services,HARISH THAKUR ROAD KRISHNANAGAR AGARTALA Tripura INDIA 799001,Indian Non-Government Company
