CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,DATE_OF_REGISTRATION,REGISTERED_STATE,REGISTRAR_OF_COMPANIES,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,SUB_CATEGORY
U31909MN1990PLC003391,USHA MANITRON TELECOMMUNICATIONS LTD,STRIKE OFF,Public,Company Limited by Shares,"10,000,000.00",210,09-01-90,Manipur,RoC-Shillong,Manufacturing (Machinery & Equipments),INDUSTRIAL ESTATETAKYELPAT IMPHAL MANIPUR Manipur INDIA,Indian Non-Government Company
U51909MN1990PTC003517,M.C. JAIN TRADERS PVT LTD,ACTIVE,Private,Company Limited by Shares,"5,000,000.00","4,237,000.00",30-09-90,Manipur,RoC-Shillong,Trading,ASSEMBLY ROAD THANGAL BAZAR IMPHAL Manipur INDIA 795001,Indian Non-Government Company
U51909MN1991PTC003529,PADAMAWATI TRADERS (INDIA) PVT LTD,ACTIVE,Private,Company Limited by Shares,"50,000,000.00","37,237,000.00",25-03-91,Manipur,RoC-Shillong,Trading,PAONA BAZAR IMPHAL Manipur INDIA 795001,Indian Non-Government Company
U51101MN1991PTC003530,S B YARN (INDIA) PVT LTD,ACTIVE,Private,Company Limited by Shares,"5,000,000.00","3,845,000.00",25-03-91,Manipur,RoC-Shillong,Trading,THANGAL BAZAR IMPHAL Manipur INDIA 795001,Indian Non-Government Company
U45203MN1991PTC003541,GRAND CONSTRUCTION COMPANY PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"1,000,000.00","30,000.00",14-05-91,Manipur,RoC-Shillong,Construction,CHINGAMAKHA MAIBAM LAIRAKIMPHAL MANIPUR Manipur INDIA,Indian Non-Government Company
U15141MN1991PTC003587,A.K.GRAINS PVT LTD,ACTIVE,Private,Company Limited by Shares,"2,500,000.00","100,000.00",20-08-91,Manipur,RoC-Shillong,Manufacturing (Food stuffs),THANGAL BAZAR IMPHAL Manipur INDIA 795001,Indian Non-Government Company
U45203MN1991PTC003601,A K BUILDERS PVT LTD,ACTIVE,Private,Company Limited by Shares,"2,500,000.00","1,333,000.00",12-09-91,Manipur,RoC-Shillong,Construction,THANGAL BAZAR IMPHAL Manipur INDIA 795001,Indian Non-Government Company
U60231MN1991PTC003602,P C P CARRIERS AND AGENCIES PVT LTD,ACTIVE,Private,Company Limited by Shares,"50,000,000.00","10,920,000.00",12-09-91,Manipur,RoC-Shillong,"Transport, storage and Communications",THANGAL BAZAR IMPHAL Manipur INDIA 795001,Indian Non-Government Company
U51433MN1992PTC003678,ASHOK HARDWARE PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"2,500,000.00","30,000.00",30-03-92,Manipur,RoC-Shillong,Trading,THANGAL BAZARIMPHAL MANIPUR Manipur INDIA 795001,Indian Non-Government Company
U45203MN1992PTC003679,CHAOBA CONSTRUCTION COMPANY PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"1,500,000.00","40,000.00",30-03-92,Manipur,RoC-Shillong,Construction,SINGJAMEI MEKHA KAKWA ASEMIMPHAL MANIPUR Manipur INDIA,Indian Non-Government Company
U01132MN1992PTC003697,JAJA TEA AND PLANTATIONS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"10,000,000.00","3,000.00",27-04-92,Manipur,RoC-Shillong,Agriculture and Allied Activities,C O S KIPGEN HOUSENEW LAMBU LANE IMPHAL MANIPUR Manipur INDIA,Indian Non-Government Company
U01132MN1992PTC003717,NILAI TEA CO PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"10,000,000.00","40,000.00",09-06-92,Manipur,RoC-Shillong,Agriculture and Allied Activities,NILAI HOUSE NILAI POST BOXBABUPARA IMPHAL MANIPUR Manipur INDIA,Indian Non-Government Company
U45203MN1992PTC003762,BETECH ENGINEERS INDIA PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"300,000.00","150,000.00",10-08-92,Manipur,RoC-Shillong,Construction,B.T.ROAD IMPHAL Manipur INDIA 795001,Indian Non-Government Company
U55101MN1992PTC003772,NISHUM HOTEL PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"12,000,000.00","100,000.00",31-08-92,Manipur,RoC-Shillong,Trading,FAIRYLANDSTADIUM ROAD IMPHAL MANIPUR Manipur INDIA 795001,Indian Non-Government Company
U45203MN1993PTC003834,PREMIER CONSULTING ENGINEERS AND ARCHITECTS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"300,000.00","100,000.00",11-01-93,Manipur,RoC-Shillong,Construction,"B.T.ROAD, IMPHAL, Manipur INDIA 795001",Indian Non-Government Company
U45203MN1993PTC003929,PAKHANGBA SPACE CONSULTANT AND DESIGNERS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"50,000.00","15,000.00",11-06-93,Manipur,RoC-Shillong,Construction,SINGJAMEI THEKCHOM LEIKAI IMPHAL Manipur INDIA,Indian Non-Government Company
U01132MN1993PTC003979,I K AGRO FORESTERS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"20,000.00",20,27-08-93,Manipur,RoC-Shillong,Agriculture and Allied Activities,KHOYATHONG KHOYATHONG TOWN IMPHAL Manipur INDIA 795001,Indian Non-Government Company
U26960MN1993PTC003980,SARANGA AGRO FARMS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"20,000.00",20,27-08-93,Manipur,RoC-Shillong,"Manufacturing (Metals & Chemicals, and products thereof)",MANTRI PUKHURI MANTRI PUKHURI IMPHAL Manipur INDIA 795002,Indian Non-Government Company
U70101MN1993PTC003981,I K AGRO MECHANICALS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"20,000.00",20,27-08-93,Manipur,RoC-Shillong,Real Estate and Renting,KHOYATHONG IMPHAL Manipur INDIA 795001,Indian Non-Government Company
U26944MN1993PTC003987,MAICO LIME FACTORY PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"1,000,000.00","270,000.00",13-09-93,Manipur,RoC-Shillong,"Manufacturing (Metals & Chemicals, and products thereof)","60, LAMPHEL SUPER MARKET IMPHAL Manipur INDIA 795004",Indian Non-Government Company
U45203MN1993PTC004013,MAIBIA CONSTRUCTION ENGINEERS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"2,500,000.00","1,850,000.00",28-10-93,Manipur,RoC-Shillong,Construction,CHINGAMAKHA MAISNAM LEIKAIIMPHAL MANIPUR Manipur INDIA 795001,Indian Non-Government Company
U05004MN1993PLC004041,MANIPUR FISHERY DEVELOPMENT CORPORTION LTD,STRIKE OFF,Public,Company Limited by Shares,"10,000,000.00","5,000.00",13-12-93,Manipur,RoC-Shillong,Agriculture and Allied Activities,MANIPUR SECRETARIAT IMPHAL Manipur INDIA,Indian Non-Government Company
U51909MN1994PTC004070,NORTH EASTERN AGRO FARMS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"20,000.00",20,03-02-94,Manipur,RoC-Shillong,Trading,PAONA BAZAR IMPHAL Manipur INDIA 795001,Indian Non-Government Company
U01409MN1994PTC004071,SENAPATI AGRICULTURE PRODUCE COMPANY PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"20,000.00",20,03-02-94,Manipur,RoC-Shillong,Agriculture and Allied Activities,MANTRIPUKHURI Imphal Manipur INDIA,Indian Non-Government Company
U01409MN1994PTC004072,IN GROW PRODUCTS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"20,000.00",20,03-02-94,Manipur,RoC-Shillong,Agriculture and Allied Activities,PAONA BAZAR IMPHAL Manipur INDIA 795001,Indian Non-Government Company
U01409MN1994PTC004073,BLUE BIRD AGRO FOREST PRODUCE PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"20,000.00",20,03-02-94,Manipur,RoC-Shillong,Agriculture and Allied Activities,THANGMEIBAND IMPHAL Manipur INDIA 795001,Indian Non-Government Company
U01119MN1994PTC004074,NEZONE AGRICULTURAL PRODUCE COMPANY PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"20,000.00",20,03-02-94,Manipur,RoC-Shillong,Agriculture and Allied Activities,THANGMEI BAND IMPHAL Manipur INDIA 795001,Indian Non-Government Company
U26999MN1994PLC004122,MANIPUR MINERAL CORPORATION LTD,STRIKE OFF,Public,Company Limited by Shares,"10,000,000.00","1,621,500.00",26-04-94,Manipur,RoC-Shillong,"Manufacturing (Metals & Chemicals, and products thereof)",TULIHAL AIRPORT ROAD IMPHAL Manipur INDIA,Indian Non-Government Company
U01131MN1994PLC004134,HILL CROPS AND COFFEE PLANTATION LTD,STRIKE OFF,Public,Company Limited by Shares,"200,000.00","80,000.00",12-05-94,Manipur,RoC-Shillong,Agriculture and Allied Activities,BUNGPA KHUNOUUKHRUL Manipur INDIA,Indian Non-Government Company
U51909MN1994PTC004164,AARDEE AGENCIES PVT LTD,ACTIVE,Private,Company Limited by Shares,"5,000,000.00","3,700,000.00",01-07-94,Manipur,RoC-Shillong,Trading,THANGAL BAZARIMPHAL MANIPUR Manipur INDIA 795001,Indian Non-Government Company
U51909MN1994PTC004239,TANKUL TRADERS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"1,000,000.00","200,000.00",28-09-94,Manipur,RoC-Shillong,Trading,THANGMEIBANDIMPHAL MANIPUR Manipur INDIA 795001,Indian Non-Government Company
U65929MN1994PTC004248,RAJSI AGRO FARMS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"20,000.00",20,28-09-94,Manipur,RoC-Shillong,Finance,IMPHAL Manipur INDIA,Indian Non-Government Company
U67120MN1995PTC004365,MAI FINANCE AND INVESTMENT INDIA PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"5,000,000.00","1,500.00",16-02-95,Manipur,RoC-Shillong,Finance,KHURAL LAMLONG BAZARIMPHAL MANIPUR Manipur INDIA,Indian Non-Government Company
U75112MN1995ULL004418,MANIPUR STATE WOMENS DEVELOPMENT CORPORATION LTD,ACTIVE,Public,Unlimited Company,"50,000,000.00",300,05-04-95,Manipur,RoC-Shillong,"Community, personal & Social Services",KHUMAN LAMPAK SOCIAL WELFARE COMPLEX IMPHAL Manipur INDIA,Indian Non-Government Company
U51909MN1995PTC004421,DESERT SPRING TRADERS AND SUPPLIERS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"100,000.00","8,000.00",07-04-95,Manipur,RoC-Shillong,Trading,LAMPHELIMPHAL MANIPUR Manipur INDIA,Indian Non-Government Company
U60210MN1995PTC004467,INDO MOREH TRANSPORT AND EXIM PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","3,000.00",09-06-95,Manipur,RoC-Shillong,"Transport, storage and Communications",KANGABAM LEIKAIIMPHAL MANIPUR Manipur INDIA,Indian Non-Government Company
U60210MN1995PTC004608,AYALI IMPHAL ROADWAYS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"100,000.00",200,10-11-95,Manipur,RoC-Shillong,"Transport, storage and Communications",THANGMAIBANDIMPHAL MANIPUR Manipur INDIA,Indian Non-Government Company
U45203MN1995PTC004645,NOVELTY CONSTRUCTION PVT LTD,ACTIVE,Private,Company Limited by Shares,"2,500,000.00","838,000.00",27-12-95,Manipur,RoC-Shillong,Construction,THANGAL BAZAR IMPHAL Manipur INDIA 795001,Indian Non-Government Company
U51229MN1996PTC004661,LOKTAK INDUSTRIES PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"10,000,000.00","50,000.00",17-01-96,Manipur,RoC-Shillong,Trading,KEISHAMPAT JUNCTIONAIR PORT ROAD IMPHAL MANIPUR Manipur INDIA,Indian Non-Government Company
U65922MN1996PTC004662,LOKTAK FINANCE AND INVESTMENT PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"1,000,000.00","5,000.00",17-01-96,Manipur,RoC-Shillong,Finance,KEISHAMPAT JUNCTIONAIRPORT ROAD IMPHAL MANIPUR Manipur INDIA,Indian Non-Government Company
U92112MN1996PTC004684,PARADISE VISION FILMS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","120,000.00",14-02-96,Manipur,RoC-Shillong,"Community, personal & Social Services",IMPHAL IMPHAL MANIPUR Manipur INDIA,Indian Non-Government Company
U51109MN1997PTC005168,KANHAI BUILLDING MATERIALS PVT LIMITED,STRIKE OFF,Private,Company Limited by Shares,"1,000,000.00","12,000.00",01-09-97,Manipur,RoC-Shillong,Trading,WABGAI KEIRAK LEIRAK ACHUBAB P O WABAGAI KAKCHING THOUBAL MANIPUR Manipur INDIA 795103,Indian Non-Government Company
U15134MN1997PTC005210,ZWEENAMEI GOLDEN HARVEST PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"1,000,000.00","10,000.00",03-10-97,Manipur,RoC-Shillong,Manufacturing (Food stuffs),THANGKHUL AVENUEIMPHAL MANIPUR Manipur INDIA,Indian Non-Government Company
U74210MN1997PTC005216,EASTERN GALAXY SERVICES AND CONSULTANT PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"100,000.00","100,000.00",06-10-97,Manipur,RoC-Shillong,Business Services,IRABOT BHABAN LANE B T ROAD IMPHAL Manipur INDIA 795001,Indian Non-Government Company
U45201MN1997PTC005266,MANIPUR CONSTRUCTION AND DEVELOPMENT PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","57,000.00",04-12-97,Manipur,RoC-Shillong,Construction,"GOVERNOR ROAD, I IMPHAL MANIPUR Manipur INDIA 795001",Indian Non-Government Company
U26921MN1998PTC005390,CANCHI CONCRETE AND TILE WORKS PVT LTD,DORMANT,Private,Company Limited by Shares,"2,500,000.00","250,000.00",13-04-98,Manipur,RoC-Shillong,"Manufacturing (Metals & Chemicals, and products thereof)",LANGTHABAL NAMBUL MAPALCANCHIPUR IMPHAL MANIPUR Manipur INDIA 795003,Indian Non-Government Company
