CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,DATE_OF_REGISTRATION,REGISTERED_STATE,REGISTRAR_OF_COMPANIES,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,SUB_CATEGORY
U20211AS1994PTC004060,CHATTONG FOREST PRODUCTS PVT LTD,ACTIVE,Private,Company Limited by Shares,"7,500,000.00","7,450,000.00",18-01-94,Assam,RoC-Shillong,Manufacturing (Wood Products),MAKUM ROAD TINSUKIA Assam INDIA 786125,Indian Non-Government Company
U51909AS1994PTC004061,BARUAH TRADERS PVT. LTD.,ACTIVE,Private,Company Limited by Shares,"500,000.00","100,000.00",18-01-94,Assam,RoC-Shillong,Trading,"P.O. FURKATING TOWN, DIST GOLAGHAT Assam INDIA 785610",Indian Non-Government Company
U72100AS1994PTC004062,TRANSWAYS CEMENTS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"1,000,000.00","2,000.00",18-01-94,Assam,RoC-Shillong,Business Services,14 B MAHABIR MARKETH B ROAD FANCY BAZAR GUWAHATI ASSAM Assam INDIA 793001,Indian Non-Government Company
U70200AS1994PTC004064,HIQUEST ENGINEERING PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"1,000,000.00","300,000.00",31-01-94,Assam,RoC-Shillong,Real Estate and Renting,CHENIKUTHI HILL SIDENABAGRAHA ROAD ASSAM GUWAHATI Assam INDIA 781003,Indian Non-Government Company
U45309AS1994PTC004066,ALLIED SLEEPERS PVT LTD,ACTIVE,Private,Company Limited by Shares,"30,000,000.00","17,422,000.00",02-02-94,Assam,RoC-Shillong,Construction,CHABIPUL. BILPARGUWAHATI ASSAM Assam INDIA,Indian Non-Government Company
U70101AS1994PTC004067,NN AGROCRAFTS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"20,000.00",20,03-02-94,Assam,RoC-Shillong,Real Estate and Renting,ASSAM Assam INDIA,Indian Non-Government Company
U65929AS1994PTC004075,NORTH EAST INDIA FINANCE AND INVESTMENT PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"1,000,000.00","4,000.00",04-02-94,Assam,RoC-Shillong,Finance,SAI NAIWAS SURVEY CHANDANNAGAR GUWAHATI ASSAM Assam INDIA 781028,Indian Non-Government Company
U24222AS1994PTC004076,STANDARD COATINGS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"1,000,000.00","500,000.00",04-02-94,Assam,RoC-Shillong,"Manufacturing (Metals & Chemicals, and products thereof)",12 WEST BYE LANER G BARUAH ROAD GUWAHATI ASSAM Assam INDIA 781024,Indian Non-Government Company
U51109AS1994PTC004077,JINENDRA COMMERCIALS COMPANY PVT LTD,ACTIVE,Private,Company Limited by Shares,"2,500,000.00","2,499,000.00",04-02-94,Assam,RoC-Shillong,Trading,519 SREEMANTA MARKETA T ROAD GUWAHATI ASSAM Assam INDIA 781001,Indian Non-Government Company
U51909AS1994PTC004078,ARTISTIC FASHIONS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"20,000,000.00","12,500,000.00",07-02-94,Assam,RoC-Shillong,Trading,ABOVE WAREWELL GALARYH B ROAD KAMARPATTY GUWAHATI ASSAM Assam INDIA 781001,Indian Non-Government Company
U01132AS1994PTC004079,KHANDELWAL TEA & PLANTATIONS ASSAM PVT LTD,ACTIVE,Private,Company Limited by Shares,"2,400,000.00","803,000.00",08-02-94,Assam,RoC-Shillong,Agriculture and Allied Activities,G F ROADGOLAGHAT ASSAM Assam INDIA 785621,Indian Non-Government Company
U27109AS1994PTC004080,SYSTECH INDIA PVT LTD,ACTIVE,Private,Company Limited by Shares,"2,500,000.00","746,500.00",09-02-94,Assam,RoC-Shillong,"Manufacturing (Metals & Chemicals, and products thereof)",C/O SOBHA STATION ROAD BONGAIGAON Assam INDIA 783380,Indian Non-Government Company
U15209AS1994PLC004081,BAIDYANATH DAIRY LTD,UNDER PROCESS OF STRIKING OFF,Public,Company Limited by Shares,"9,500,000.00","9,170,000.00",10-02-94,Assam,RoC-Shillong,Manufacturing (Food stuffs),"IVORY ENCLAVE, IST FLOOR RGB ROAD GUWAHATI Assam INDIA 781021",Indian Non-Government Company
U27106AS1994PTC004082,SREE GANAPATI ISPAT PVT LTD,UNDER LIQUIDATION,Private,Company Limited by Shares,"1,000,000.00","460,000.00",14-02-94,Assam,RoC-Shillong,"Manufacturing (Metals & Chemicals, and products thereof)",MAUCOTTA ROAD DIBRUGARH Assam INDIA 786001,Indian Non-Government Company
U20211AS1994PTC004084,LUMBERTECH PVT LTD,ACTIVE,Private,Company Limited by Shares,"10,000,000.00","9,347,000.00",14-02-94,Assam,RoC-Shillong,Manufacturing (Wood Products),"H.P. SHARMA BUILDING KEDAR ROAD, FANCY BAZAR GUWAHATI Assam INDIA 781001",Indian Non-Government Company
U01132AS1994PTC004087,ARUNODAY TEA COMPANY PVT LTD,ACTIVE,Private,Company Limited by Shares,"10,000,000.00","6,762,500.00",14-02-94,Assam,RoC-Shillong,Agriculture and Allied Activities,R N C PATHTHANA CHARIALI DIBRUGARH ASSAM Assam INDIA 786001,Indian Non-Government Company
U01132AS1994PTC004088,ASSAM GOLD TEA PVT LTD,ACTIVE,Private,Company Limited by Shares,"5,000,000.00","4,792,000.00",14-02-94,Assam,RoC-Shillong,Agriculture and Allied Activities,"CHOTAHAPJAN PO. MAKUM, JN. TINSUKIA Assam INDIA 786170",Indian Non-Government Company
U45309AS1994PTC004089,EASTERN ENGINEERS ENDOWMENT PVT LTD,ACTIVE,Private,Company Limited by Shares,"5,000,000.00","2,499,000.00",17-02-94,Assam,RoC-Shillong,Construction,M C ROADUZAN BAZAR GUWAHATI ASSAM Assam INDIA 781001,Indian Non-Government Company
