CIN,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,DATE_OF_REGISTRATION,REGISTERED_STATE,ROC,DESCRIPTION,REGISTERED_OFFICE_ADDRESS,SUB_CATEGORY
U45201PY1995PTC001068,SRI BHAGYAM BUILDERS PRIVATE LIMITED,STRIKE OFF,PRIV,CLSH,1000000,1000000,27-03-95,Pondicherry,RoC-Pondicherry,Construction,"NO.66, PETTAIYANCHATIRAM,PONDICHERRY-9. PONDICHERRY-9. Pondicherry INDIA 605009",Indian Non-Government Company
U70101PY1995PTC001069,SOUTHERN TRIPLE A INVESTMENTS PRIVATE LIMITED,ACTIVE,PRIV,CLSH,1000000,709000,29-03-95,Pondicherry,RoC-Pondicherry,Real Estate and Renting,"NO.37, 1ST FLOOR, PETER NAGAR PUDUCHERRY Pondicherry INDIA 605013",Indian Non-Government Company
U27104PY1995PLC001070,SAPTAGIRI ISPAT LIMITED,DORMANT,PUBC,CLSH,900000,18000,30-03-95,Pondicherry,RoC-Pondicherry,"Manufacturing (Metals & Chemicals, and products thereof)","NO.102, NEEDARAJAPAYER STREET,PONDICHERRY-605001. Pondicherry INDIA 605001",Indian Non-Government Company
U15511PY1995PTC001071,TAURUS AND TAURUS INDIA ENTERPRISES PRIVATE LIMITED,ACTIVE,PRIV,CLSH,12600000,1225000,30-03-95,Pondicherry,RoC-Pondicherry,Manufacturing (Food stuffs),"NO.16, S.V.PATEL SALAI,ZAMINDAR GARDEN, PONDICHERRY-605012. PONDICHERRY-605012. Pondicherry INDIA 605012",Indian Non-Government Company
U25199PY1995PTC001072,COROMANDEL FOAM PRIVATE LIMITED,STRIKE OFF,PRIV,CLSH,5000000,5000000,31-03-95,Pondicherry,RoC-Pondicherry,"Manufacturing (Metals & Chemicals, and products thereof)","NO.43/8,KUDAPAKKAM ROAD,VILLIANUR, PONDICHERRY-605110 PONDICHERRY-605110 Pondicherry INDIA 605110",Indian Non-Government Company
U99999PY1995PTC001073,IMDC CHENNAI MARKETING PRIVATE LIMITED,STRIKE OFF,PRIV,CLSH,100000,0,04-03-95,Pondicherry,RoC-Pondicherry,NA,"63-A MARIAMMANKOIL STREET,SOLAI NAGAR, PONDICHERRY-605003 Pondicherry INDIA",Indian Non-Government Company
U60230PY1995PTC001074,SOUTH CENTRAL ROADWAY PRIVATE LIMITED,STRIKE OFF,PRIV,CLSH,50000,0,04-03-95,Pondicherry,RoC-Pondicherry,"Transport, storage and Communications","NO.32, 100 FEET MAIN ROAD,ELLAPILLAICHAVADI, PONDICHERRY-605005. Pondicherry INDIA",Indian Non-Government Company
U51398PY1995PTC001075,ADITI DIAMONDS EXPORTS PRIVATE LIMITED,UNDER PROCESS OF STRIKING OFF,PRIV,CLSH,4000000,2670100,04-04-95,Pondicherry,RoC-Pondicherry,Trading,"ALL INDIA PRESS COMPOUND,KENNEDY NAGAR, PONDICHERRY-1. 605 001 Pondicherry INDIA 605001",Indian Non-Government Company
U28910PY1995PTC001076,ESTRA FABRICATORS MADRAS PRIVATE LIMITED,DORMANT,PRIV,CLSH,1000000,1000000,04-07-95,Pondicherry,RoC-Pondicherry,"Manufacturing (Metals & Chemicals, and products thereof)","PLOT NO.5, KUMARAN NAGAR,III EXTENSION, LAWSPET, PONDICHERRY Pondicherry INDIA",Indian Non-Government Company
U63040PY1995PTC001077,MARUTHI AIR LINKS PRIVATE LIMITED,ACTIVE,PRIV,CLSH,1000000,915000,04-10-95,Pondicherry,RoC-Pondicherry,"Transport, storage and Communications","NO 3, WEST BRINDAVAN, FIRST FLOOR MAIN STREET PONDICHERRY Pondicherry INDIA 605013",Indian Non-Government Company
U60230PY1995PLC001078,K.P.N.SUPER SERVICE AND TRANSPORT INDIA LIMITED,STRIKE OFF,PUBC,CLSH,500000,0,18-04-95,Pondicherry,RoC-Pondicherry,"Transport, storage and Communications","2,RAJARAJESWARI NAGAR,PONDICHERRY-605011 pondicherry Pondicherry INDIA",Indian Non-Government Company
U74900PY1995PTC001079,INDIAN GREENGLORY SERVICES PRIVATE LIMITED,DORMANT,PRIV,CLSH,5000000,11000,19-04-95,Pondicherry,RoC-Pondicherry,Business Services,"NO.1, 2ND CROSS,BRINDAVAN, PONDICHERRY-13. Pondicherry INDIA",Indian Non-Government Company
U99999PY1995PTC001081,KARAI AMMAN CHITS PRIVATE LIMITED,STRIKE OFF,PRIV,CLSH,200000,0,21-04-95,Pondicherry,RoC-Pondicherry,NA,"78, THREEWELL PLAS SOUTH ST.,1ST FLOOR, KARAIKAL. Pondicherry INDIA",Indian Non-Government Company
U67190PY1995PLC001082,INDIAN FINANCIAL DEVELOPMENT ORGANISING LIMITED,STRIKE OFF,PUBC,CLSH,500000,0,24-04-95,Pondicherry,RoC-Pondicherry,Finance,"NEW NO 84,CHETTY STRRET,IFLOOR,PONDICHERRY-605001 pondicherry Pondicherry INDIA",Indian Non-Government Company
U99999PY1995PTC001083,LONGLIFE METAL PRODUCTS INDIA PRIVATE LIMITED,STRIKE OFF,PRIV,CLSH,1000000,NA,27-04-95,Pondicherry,RoC-Pondicherry,NA,"B-4, B-5, SEDARAPETINDUSTRIAL ESTATE, PONDICHERRY. Pondicherry INDIA",Indian Non-Government Company
U74900PY1995PLC001084,ANDERSON INDUSTRIES INTERNATIONAL LIMITED,DORMANT,PUBC,CLSH,10000000,500000,27-04-95,Pondicherry,RoC-Pondicherry,Business Services,"DOOR NO 1, ABIRAMI AMMAN WEST STREET T.R.PATTINAM KARAIKKAL Pondicherry INDIA 609606",Indian Non-Government Company
U17111PY1995PLC001085,PNL TEXTILE TRADE (INDIA) LIMITED,STRIKE OFF,PUBC,CLSH,1000000,500000,05-01-95,Pondicherry,RoC-Pondicherry,Manufacturing (Textiles),"189,MISSION STREET,PONDICHERRY Pondicherry INDIA 605001",Indian Non-Government Company
U51311PY1995PLC001086,PNL EXPORTS LIMITED,STRIKE OFF,PUBC,CLSH,5000000,4050000,05-01-95,Pondicherry,RoC-Pondicherry,Trading,"NO.189, MISSION STREET,PONDICHERRY-1. Pondicherry INDIA 605001",Indian Non-Government Company
U51505PY1995PTC001087,THE COASTAL INDIA TRADING SERVICES PRIVATE LIMITED,DORMANT,PRIV,CLSH,500000,500000,05-12-95,Pondicherry,RoC-Pondicherry,Trading,"221, POINTCARE STREET,OLUNDAI KEERAPALAYAM, MUDALIARPET(P.O.), PONDICHERRY - 605 004 Pondicherry INDIA 605004",Indian Non-Government Company
U45209PY1995PTC001088,STRUCTURAL ENGINEERS INDIA PRIVATE LIMITED,STRIKE OFF,PRIV,CLSH,600000,502000,05-12-95,Pondicherry,RoC-Pondicherry,Construction,"221, POINT CARE STREET,OLUNDAIKERAPALAYAM, MUDALIARPET, PONDICHERRY-4 605 004. Pondicherry INDIA 605004",Indian Non-Government Company
U65923PY1995PLC001089,PHOENIX CREDIT AND FINANCIAL SERVICES (INDIA) LIMITED,STRIKE OFF,PUBC,CLSH,500000,0,16-05-95,Pondicherry,RoC-Pondicherry,Finance,"NO.1,MARIAMMANKOIL STREET,SHUNMUGAPURAM PONDICHERRY-9 pondicherry Pondicherry INDIA",Indian Non-Government Company
U51222PY1995PTC001091,SHREERAAM TRADING PRIVATE LIMITED,DORMANT,PRIV,CLSH,1000000,250000,29-05-95,Pondicherry,RoC-Pondicherry,Trading,"414,M.G.ROAD,MUTHIALPET,PONDICHERRY-3 MUTHIALPET,PONDICHERRY-3 Pondicherry INDIA 605003",Indian Non-Government Company
U55201PY1995PLC001092,JAYSAN RESORTS AND CLUBS LIMITED,DORMANT,PUBC,CLSH,2500000,70000,06-02-95,Pondicherry,RoC-Pondicherry,Trading,"NO.11, CHURCH STREET,REDDIARPALAYAM, PONDICHERRY-605010. Pondicherry INDIA",Indian Non-Government Company
U65992PY1995PLC001093,ARAVIND BENEFIT FUND LIMITED,STRIKE OFF,PUBC,CLSH,100000,0,06-08-95,Pondicherry,RoC-Pondicherry,Finance,"101,IST FLOOR,BARATHI STREET,PONDICHERRY-605001 PONDICHERRY Pondicherry INDIA",Indian Non-Government Company
U45400PY1995PTC001094,FAST BUILDERS (INDIA) PRIVATE LIMITED,DORMANT,PRIV,CLSH,500000,3000,06-12-95,Pondicherry,RoC-Pondicherry,Construction,"52, BHARATHI STREET,T.V. NAGAR, PONDICHERRY- Pondicherry INDIA",Indian Non-Government Company
U99999PY1995PTC001097,BEAUTY PACKS INDIA PRIVATE LIMITED,STRIKE OFF,PRIV,CLSH,2500000,NA,06-12-95,Pondicherry,RoC-Pondicherry,NA,"151/2,PONDY-CUDDALORE MAIN ROAD, KATTUKUPPAM,PONDICHERRY-607402 Pondicherry INDIA",Indian Non-Government Company
