CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,DATE_OF_REGISTRATION,REGISTERED_STATE,REGISTRAR_OF_COMPANIES,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,SUB_CATEGORY
U51909AR2003ULT007236,MEENA ENTRADE AND ENGINEERING PRIVATE LIMITED,ACTIVE,Private,Unlimited Company,"3,500,000.00","100,000.00",17-10-03,Arunachal Pradesh,RoC-Shillong,Trading,C SECTORBARAPANI BAZAR ARUNACHAL PRADESH NAHARLAGUN Arunachal Pradesh INDIA,Indian Non-Government Company
U45203AR2003PTC007280,NOOMPHY & CONSTRUCTION PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","500,000.00",16-12-03,Arunachal Pradesh,RoC-Shillong,Construction,B SECTORNAHARLAGUN PAPUMPARE Arunachal Pradesh INDIA,Indian Non-Government Company
U45203AR2003PTC007281,RUBU CONSTRUCTION PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","500,000.00",16-12-03,Arunachal Pradesh,RoC-Shillong,Construction,VILLAGE BYONZIRO HAPOLI LOWER SUBANSIRI Arunachal Pradesh INDIA,Indian Non-Government Company
U15132AR2003PTC007286,KAMLANG FOOD PROCESSING PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","500,000.00",19-12-03,Arunachal Pradesh,RoC-Shillong,Manufacturing (Food stuffs),GRACE COMPLEXVIP ROAD NITI VIHAR T T MARG ITANAGAR Arunachal Pradesh INDIA,Indian Non-Government Company
U45201AR2003PTC007287,TAMA BUILDERS & CONSULTANTS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"1,000,000.00","100,000.00",19-12-03,Arunachal Pradesh,RoC-Shillong,Construction,A SECTORNAHARLAGUN PAPUMPARE Arunachal Pradesh INDIA,Indian Non-Government Company
U70101AR2004PTC007324,NIDO ENERGY SYSTEMS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"85,000,000.00","83,921,800.00",11-02-04,Arunachal Pradesh,RoC-Shillong,Real Estate and Renting,D SECTORNAHARLAGUN PAPUMPARE Arunachal Pradesh INDIA,Indian Non-Government Company
U50101AR2004PTC007347,ISUM MOTORS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"20,000,000.00","19,200,000.00",01-03-04,Arunachal Pradesh,RoC-Shillong,Trading,NIKAMUL SATRATEZPUR ASSAM Arunachal Pradesh INDIA 784154,Indian Non-Government Company
U51222AR2004PTC007410,CENT PERCENT DAIRY MILK & TRADING PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"5,000,000.00","1,000,000.00",07-05-04,Arunachal Pradesh,RoC-Shillong,Trading,C SECTORNAHARLAGUN PAPUMPARE Arunachal Pradesh INDIA,Indian Non-Government Company
U27310AR2004PTC007413,S AND Y METALS AND ALLOYS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"10,000,000.00","1,000,000.00",14-05-04,Arunachal Pradesh,RoC-Shillong,"Manufacturing (Metals & Chemicals, and products thereof)",Nirjuli P.O Nirjuli Dist-Papumpare PAPUMPARE Arunachal Pradesh INDIA,Indian Non-Government Company
U51909AR2004PTC007421,SORANG EXPORT & IMPORT COMPANY PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","100,000.00",27-05-04,Arunachal Pradesh,RoC-Shillong,Trading,ESS SECTORITANAGAR PAPUMPARE Arunachal Pradesh INDIA,Indian Non-Government Company
U92111AR2004PTC007443,S&Y MOVIES PRIVATE LIMITED,UNDER PROCESS OF STRIKING OFF,Private,Company Limited by Shares,"2,000,000.00","100,000.00",17-06-04,Arunachal Pradesh,RoC-Shillong,"Community, personal & Social Services",NIRJULI DIST PAPUMPARE PAPUMPARE Arunachal Pradesh INDIA,Indian Non-Government Company
U51909AR2004PTC007444,S&Y OVERSEAS ENTRADE PRIVATE LIMITED,UNDER PROCESS OF STRIKING OFF,Private,Company Limited by Shares,"1,000,000.00","200,000.00",17-06-04,Arunachal Pradesh,RoC-Shillong,Trading,NIRJULI PAPUMPARE Arunachal Pradesh INDIA,Indian Non-Government Company
U63040AR2004PTC007452,ARUNACHAL HOLIDAYS & RESORTS PRIVATE LIMITED,DORMANT,Private,Company Limited by Shares,"500,000.00","500,000.00",29-06-04,Arunachal Pradesh,RoC-Shillong,"Transport, storage and Communications",A B C BUILDINGMAIN MARKET BOMDILA WEST KAMENG ARUNACHAL PRADESH Arunachal Pradesh INDIA 790001,Indian Non-Government Company
